word,count,journal,in_that_journal
"Receptors, Phencyclidine",5,FEBS letters,1
Myosin-Light-Chain Phosphatase,5,American journal of physiology. Lung cellular and molecular physiology,2
"Dental Restoration, Temporary",5,Practical procedures & aesthetic dentistry : PPAD,2
Bufanolides,5,Journal of natural products,2
"Influenza A Virus, H9N2 Subtype",5,Archives of virology,2
Opium,5,The Journal of nervous and mental disease,1
Borates,5,Journal of chromatography. A,2
Boranes,5,Organic letters,2
Betaxolol,5,Molecular pharmacology,1
Flupenthixol,5,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,1
Scabies,5,Postgraduate medicine,1
Lice Infestations,5,Postgraduate medicine,1
Compulsive Behavior,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
"Africa, Northern",5,Medicine,1
Forensic Toxicology,5,Journal of analytical toxicology,3
Thoracica,5,The American journal of physiology,1
Remedial Teaching,5,The Journal of nursing education,2
"Food Service, Hospital",5,Journal of the American Dietetic Association,1
Museums,5,Annals of the New York Academy of Sciences,1
Vascular Endothelial Growth Factor D,5,Nature medicine,1
Theileriasis,5,The Onderstepoort journal of veterinary research,1
Tocolysis,5,Obstetrics and gynecology,2
Growth Differentiation Factor 9,5,Biochemical and biophysical research communications,1
"Tablets, Enteric-Coated",5,Digestive diseases and sciences,1
"Heart Rupture, Post-Infarction",5,Chest,1
Anseriformes,5,Ecology,1
Erucic Acids,5,Biochemical and biophysical research communications,1
Sphincter of Oddi,5,Surgery,2
Conus Snail,5,The Biological bulletin,1
Recoverin,5,The Journal of biological chemistry,2
Appetite Regulation,5,The British journal of nutrition,2
TNF Receptor-Associated Factor 3,5,The Journal of biological chemistry,2
Patient Identification Systems,5,Nursing times,1
Fungal Vaccines,5,Infection and immunity,2
"Euthanasia, Animal",5,Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians,2
Churg-Strauss Syndrome,5,"Clinical immunology (Orlando, Fla.)",1
Hippocalcin,5,The Journal of biological chemistry,2
Isospora,5,Indian journal of pathology & microbiology,1
Audiovisual Aids,5,Surgical neurology,1
"Manuscripts, Medical",5,Luzifer-Amor : Zeitschrift zur Geschichte der Psychoanalyse,1
Bashkiria,5,Genetika,2
Pregnadienediols,5,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",3
"Fibromatosis, Aggressive",5,Otolaryngologia polska. The Polish otolaryngology,1
Fertility Preservation,5,The Journal of clinical endocrinology and metabolism,1
"Receptor, EphA2",5,Molecular and cellular biology,1
Bacteroidaceae Infections,5,Infection and immunity,2
Forssman Antigen,5,The Journal of experimental medicine,1
Proto-Oncogene Protein c-ets-2,5,The Journal of biological chemistry,3
Chitin Synthase,5,The Journal of antibiotics,1
Peplomycin,5,Gan to kagaku ryoho. Cancer & chemotherapy,3
Adaptor Protein Complex mu Subunits,5,Gastroenterology,1
Connectome,5,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,4
Gold Alloys,5,The European journal of prosthodontics and restorative dentistry,1
Dental Etching,5,The European journal of prosthodontics and restorative dentistry,1
Dental Casting Investment,5,The European journal of prosthodontics and restorative dentistry,2
Hospital-Patient Relations,5,Hospital topics,1
Theft,5,Psychological reports,2
Lysine-tRNA Ligase,5,Biochimica et biophysica acta,1
Paraparesis,5,Journal of vascular surgery,1
Ectodysplasins,5,The Journal of surgical research,1
Thymidine Monophosphate,5,Cancer research,1
Fetomaternal Transfusion,5,The Journal of reproductive medicine,1
Haploinsufficiency,5,Proceedings of the National Academy of Sciences of the United States of America,2
Vicia faba,5,Chemosphere,1
Kidd Blood-Group System,5,Transfusion,3
Trochlear Nerve,5,Experimental neurology,1
Loudness Perception,5,Journal of the American Academy of Audiology,3
Megakaryocyte Progenitor Cells,5,Journal of pediatric hematology/oncology,1
Amino Acid Transport System A,5,Pediatric research,1
Nephrolithiasis,5,The Journal of urology,3
Phosphotransferases (Nitrogenous Group Acceptor),5,Journal of bacteriology,3
Stuttering,5,Perceptual and motor skills,2
Dichotic Listening Tests,5,Journal of the American Academy of Audiology,2
Emergency Medical Service Communication Systems,5,Acta anaesthesiologica Belgica,1
Brevibacterium,5,International journal of systematic and evolutionary microbiology,3
Carbonic Anhydrase II,5,Journal of medicinal chemistry,2
Thioinosine,5,Life sciences,1
Kinetin,5,Molecular and biochemical parasitology,1
"Genes, pX",5,"Journal of immunology (Baltimore, Md. : 1950)",1
Arecaceae,5,Genomics,1
Vault Ribonucleoprotein Particles,5,Biochemical and biophysical research communications,1
Uridine Phosphorylase,5,Molecular & general genetics : MGG,1
Dopamine and cAMP-Regulated Phosphoprotein 32,5,FEBS letters,1
Sex Preselection,5,Fertility and sterility,1
Death-Associated Protein Kinases,5,Virology,1
Neurologic Manifestations,5,Radiology,1
Interleukin-2 Receptor beta Subunit,5,Blood,3
"Neurons, Efferent",5,Archives of pathology & laboratory medicine,1
Clinical Medicine,5,Healthcare financial management : journal of the Healthcare Financial Management Association,1
Paleodontology,5,"Science (New York, N.Y.)",3
Bryopsida,5,Chemosphere,1
Tuberculoma,5,"Zhurnal mikrobiologii, epidemiologii, i immunobiologii",1
Health Facility Administration,5,The Journal of nursing administration,1
Skiing,5,Military medicine,1
Ossification of Posterior Longitudinal Ligament,5,Surgical neurology,2
Physician Impairment,5,The Journal of clinical psychiatry,1
Elapidae,5,Biochimica et biophysica acta,2
Ectromelia,5,Human genetics,2
Phanerochaete,5,BMC genomics,1
"Receptors, Vasoactive Intestinal Peptide, Type II",5,Proceedings of the National Academy of Sciences of the United States of America,1
Paracoccidioidomycosis,5,Infection and immunity,1
Berberine Alkaloids,5,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2
"Neoplasms, Vascular Tissue",5,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,1
Phosphatidylethanolamine N-Methyltransferase,5,Chemico-biological interactions,1
gamma-Linolenic Acid,5,The Journal of nutrition,2
Autotrophic Processes,5,FEMS microbiology ecology,2
Fenclonine,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,2
Amrinone,5,The Journal of pharmacology and experimental therapeutics,1
Thiamine Pyrophosphate,5,The American journal of clinical nutrition,1
Glyceraldehyde 3-Phosphate,5,Experimental neurology,1
North Dakota,5,Modern healthcare,1
Tanning,5,La Medicina del lavoro,1
Cathepsin A,5,"Yeast (Chichester, England)",2
Li-Fraumeni Syndrome,5,Pediatric blood & cancer,1
Podophyllin,5,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,1
Arachidonate Lipoxygenases,5,The Journal of biological chemistry,2
Protein C Inhibitor,5,Biochemistry,1
Conscience,5,"The journals of gerontology. Series B, Psychological sciences and social sciences",1
Beneficence,5,The Hastings Center report,1
"Receptor, Melanocortin, Type 1",5,Animal genetics,2
Chordata,5,The Journal of cell biology,1
"Receptors, Neurotensin",5,Proceedings of the National Academy of Sciences of the United States of America,2
"Ribosome Subunits, Large, Bacterial",5,Nucleic acids research,2
Leukorrhea,5,Obstetrics and gynecology,2
Swainsonine,5,The EMBO journal,1
"Neoplasms, Basal Cell",5,Archives of dermatology,1
Protease Nexins,5,The Journal of biological chemistry,2
Tissue Polypeptide Antigen,5,Cancer,2
Tetrabenazine,5,The Medical journal of Australia,1
Chorionic Villi Sampling,5,Lancet,2
ADP-Ribosylation Factor 1,5,Biochemistry,1
Laser Capture Microdissection,5,Journal of visualized experiments : JoVE,1
Mannosyltransferases,5,Molecular phylogenetics and evolution,1
Ethical Theory,5,The American journal of medicine,1
Radiation Genetics,5,Radiation research,2
Sandhoff Disease,5,Human genetics,2
Pets,5,Journal of medical microbiology,1
Cytoplasmic Dyneins,5,Oncogene,1
"Receptors, Leukocyte-Adhesion",5,"Journal of immunology (Baltimore, Md. : 1950)",2
"Leukemia, Myeloid, Chronic-Phase",5,Leukemia,2
"Receptors, Vasoactive Intestinal Polypeptide, Type I",5,Blood,1
Orgasm,5,Epileptic disorders : international epilepsy journal with videotape,1
Citrobacter rodentium,5,Gastroenterology,2
"Adenoviruses, Simian",5,Journal of virology,1
Menkes Kinky Hair Syndrome,5,Developmental medicine and child neurology,1
Burkholderia cenocepacia,5,Proceedings of the National Academy of Sciences of the United States of America,2
Carboxymethylcellulose Sodium,5,The British journal of nutrition,1
Obstetric Surgical Procedures,5,The New Zealand medical journal,1
Cyclohexylamines,5,"Science (New York, N.Y.)",1
"Acidosis, Respiratory",5,The American journal of physiology,2
Rickettsiaceae,5,The Onderstepoort journal of veterinary research,2
"Tuberculosis, Renal",5,The Journal of urology,2
Carbenoxolone,5,The Journal of steroid biochemistry and molecular biology,2
Cost Sharing,5,"Inquiry : a journal of medical care organization, provision and financing",1
Auranofin,5,Thorax,1
Mediastinal Cyst,5,Kyobu geka. The Japanese journal of thoracic surgery,2
Uroplakin II,5,The Journal of urology,2
Core Binding Factor beta Subunit,5,Nucleic acids research,1
Phosphotransferases (Phosphate Group Acceptor),5,The Journal of biological chemistry,2
Fossil Fuels,5,Environmental science & technology,2
Angioscopy,5,American heart journal,2
Eye Infections,5,Ophthalmology,1
Corneal Neovascularization,5,Current eye research,2
Metallochaperones,5,The Biochemical journal,1
Mefenamic Acid,5,SAAD digest,1
"Germany, East",5,Scandinavian journal of public health,1
Pancreatin,5,Pediatric research,1
Phycobilisomes,5,Biophysical journal,1
Burkholderia Infections,5,Journal of medical microbiology,2
Legionellosis,5,"Journal of immunology (Baltimore, Md. : 1950)",1
Bacterial Proton-Translocating ATPases,5,Journal of bacteriology,2
Pregnatrienes,5,Transplantation,1
Mediastinoscopy,5,Southern medical journal,2
Alamethicin,5,Biochimica et biophysica acta,2
Zygote Intrafallopian Transfer,5,Fertility and sterility,2
Green Chemistry Technology,5,Journal of chromatography. A,2
Luteolytic Agents,5,The Journal of clinical investigation,1
"Hernia, Femoral",5,The American surgeon,2
Trypanosoma brucei gambiense,5,Tropical medicine & international health : TM & IH,3
Hyalin,5,Investigative ophthalmology & visual science,1
Zearalenone,5,Journal of AOAC International,2
"Transcription Initiation, Genetic",5,Nucleic acids research,2
Lotus,5,Plant molecular biology,2
"Granuloma, Foreign-Body",5,Journal of neurosurgery,1
Motilin,5,The Journal of clinical endocrinology and metabolism,1
Odontoid Process,5,Journal of neurosurgery,3
Computing Methodologies,5,Journal of chemical information and modeling,1
Madin Darby Canine Kidney Cells,5,The Journal of biological chemistry,2
Placenta Previa,5,BJOG : an international journal of obstetrics and gynaecology,1
Coformycin,5,Leukemia research,1
Leigh Disease,5,Annals of neurology,3
Iridoviridae,5,Biochemical and biophysical research communications,1
Psoas Muscles,5,Biophysical journal,2
Canthaxanthin,5,The journal of physical chemistry. B,1
Physarum,5,FEBS letters,1
"Pulse Therapy, Drug",5,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,1
Dental Care for Aged,5,Journal of dental education,2
Electrical Equipment and Supplies,5,"Chemistry (Weinheim an der Bergstrasse, Germany)",2
Biological Science Disciplines,5,Academic medicine : journal of the Association of American Medical Colleges,2
Streptococcus suis,5,Infection and immunity,1
G2 Phase Cell Cycle Checkpoints,5,Biochimica et biophysica acta,1
Delayed Rectifier Potassium Channels,5,Biochemical and biophysical research communications,1
Homologous Recombination,5,Nucleic acids research,2
Anophthalmos,5,Vestnik oftalmologii,2
Gardnerella vaginalis,5,Acta cytologica,1
Anti-Dyskinesia Agents,5,The American journal of psychiatry,1
"Materials Management, Hospital",5,Journal of medical systems,1
Alkadienes,5,Organic letters,4
Musa,5,Archives of virology,1
Otx Transcription Factors,5,Gene,1
Clenbuterol,5,Journal of analytical toxicology,1
Monoacylglycerol Lipases,5,The Journal of biological chemistry,2
"Myoclonic Epilepsy, Juvenile",5,Epilepsia,3
Sodium Lactate,5,The American journal of physiology,2
Heavy Ions,5,Medical physics,2
Spacecraft,5,"Science (New York, N.Y.)",2
Cyclin-Dependent Kinase 9,5,Molecular and cellular biology,1
Laryngeal Mucosa,5,La Radiologia medica,1
Laryngeal Edema,5,La Radiologia medica,1
Reye Syndrome,5,Archives of internal medicine,1
National Center for Health Statistics (U.S.),5,Advance data,2
Expectorants,5,Lancet,1
Vomeronasal Organ,5,Cell,2
"Graft Enhancement, Immunologic",5,Annals of internal medicine,2
Methionine-tRNA Ligase,5,Nucleic acids research,2
Veterans Health,5,The Journal of nervous and mental disease,1
Spondylolysis,5,AJR. American journal of roentgenology,2
Glutamate Carboxypeptidase II,5,Archives of virology,1
Ancylostomiasis,5,The Journal of parasitology,1
Mortuary Practice,5,Tijdschrift voor diergeneeskunde,1
Hyperlipoproteinemia Type IV,5,"Ophthalmic surgery, lasers & imaging : the official journal of the International Society for Imaging in the Eye",1
Recovery Room,5,Anaesthesia and intensive care,1
"Urinary Sphincter, Artificial",5,The Journal of urology,3
Electronic Prescribing,5,Studies in health technology and informatics,1
"Desensitization, Psychologic",5,"Medicine, science, and the law",1
"Group Practice, Prepaid",5,Medical care,1
"Interferon-Stimulated Gene Factor 3, gamma Subunit",5,The Journal of biological chemistry,1
GB virus C,5,Journal of clinical microbiology,1
Sweat,5,Intervirology,1
Adrenergic alpha-1 Receptor Antagonists,5,The Journal of pharmacology and experimental therapeutics,2
Negative-Pressure Wound Therapy,5,Zhongguo gu shang = China journal of orthopaedics and traumatology,1
Practice Valuation and Purchase,5,Hospitals & health networks / AHA,2
"Maintenance and Engineering, Hospital",5,Health facilities management,2
Fluorocarbon Polymers,5,Langmuir : the ACS journal of surfaces and colloids,2
Protein Inhibitors of Activated STAT,5,Gene,1
Imidoesters,5,Biochemistry,3
Sex Chromatin,5,Nippon Ganka Gakkai zasshi,1
Dalteparin,5,Delaware medical journal,1
Benztropine,5,Psychiatry research,2
"Foramen Ovale, Patent",5,Stroke; a journal of cerebral circulation,1
Fusobacterium Infections,5,The Journal of veterinary medical science / the Japanese Society of Veterinary Science,1
Mucolipidoses,5,American journal of human genetics,1
Dietary Services,5,Journal of food protection,1
Aristolochic Acids,5,The Journal of neuroscience : the official journal of the Society for Neuroscience,1
Mycobacterium ulcerans,4,The American journal of tropical medicine and hygiene,2
Apolipoproteins D,4,The American Journal of dermatopathology,1
"Licensure, Nursing",4,The Journal of nursing education,2
